Date,Ticker,Adj Close
2024-04-15,MMM,91.30000305175781
2024-04-15,AOS,85.1500015258789
2024-04-15,ABT,108.88999938964844
2024-04-15,ABBV,161.6699981689453
2024-04-15,ACN,313.2699890136719
2024-04-15,ADBE,470.1000061035156
2024-04-15,AMD,160.32000732421875
2024-04-15,AES,16.15999984741211
2024-04-15,AFL,80.2699966430664
2024-04-15,A,140.22000122070312
2024-04-15,APD,231.16000366210938
2024-04-15,ABNB,155.60000610351562
2024-04-15,AKAM,102.22000122070312
2024-04-15,ALB,120.5
2024-04-15,ARE,119.18000030517578
2024-04-15,ALGN,304.739990234375
2024-04-15,ALLE,126.94000244140625
2024-04-15,LNT,48.0
2024-04-15,ALL,165.75999450683594
2024-04-15,GOOGL,154.86000061035156
2024-04-15,GOOG,156.3300018310547
2024-04-15,MO,40.95000076293945
2024-04-15,AMZN,183.6199951171875
2024-04-15,AMCR,8.9399995803833
2024-04-15,AEE,71.58000183105469
2024-04-15,AAL,12.9399995803833
2024-04-15,AEP,80.91000366210938
2024-04-15,AXP,218.39999389648438
2024-04-15,AIG,73.05000305175781
2024-04-15,AMT,178.1199951171875
2024-04-15,AWK,115.9800033569336
2024-04-15,AMP,411.17999267578125
2024-04-15,AME,179.0399932861328
2024-04-15,AMGN,265.510009765625
2024-04-15,APH,112.38999938964844
2024-04-15,ADI,190.2899932861328
2024-04-15,ANSS,328.1600036621094
2024-04-15,AON,305.17999267578125
2024-04-15,APA,33.15999984741211
2024-04-15,AAPL,172.69000244140625
2024-04-15,AMAT,205.67999267578125
2024-04-15,APTV,73.01000213623047
2024-04-15,ACGL,89.76000213623047
2024-04-15,ADM,60.52000045776367
2024-04-15,ANET,263.20001220703125
2024-04-15,AJG,232.08999633789062
2024-04-15,AIZ,172.58999633789062
2024-04-15,T,16.239999771118164
2024-04-15,ATO,113.05999755859375
2024-04-15,ADSK,229.6199951171875
2024-04-15,ADP,244.0800018310547
2024-04-15,AZO,2903.510009765625
2024-04-15,AVB,180.72000122070312
2024-04-15,AVY,211.27999877929688
2024-04-15,AXON,303.30999755859375
2024-04-15,BKR,32.45000076293945
2024-04-15,BALL,64.62000274658203
2024-04-15,BAC,35.95000076293945
2024-04-15,BK,55.09000015258789
2024-04-15,BBWI,44.59000015258789
2024-04-15,BAX,40.040000915527344
2024-04-15,BDX,234.72000122070312
2024-04-15,BBY,76.29000091552734
2024-04-15,BIO,300.4100036621094
2024-04-15,TECH,65.5199966430664
2024-04-15,BIIB,196.8000030517578
2024-04-15,BLK,762.989990234375
2024-04-15,BX,121.16999816894531
2024-04-15,BA,167.82000732421875
2024-04-15,BKNG,3485.6298828125
2024-04-15,BWA,33.130001068115234
2024-04-15,BXP,58.66999816894531
2024-04-15,BSX,67.44000244140625
2024-04-15,BMY,48.5099983215332
2024-04-15,AVGO,1310.68994140625
2024-04-15,BR,195.6699981689453
2024-04-15,BRO,81.02999877929688
2024-04-15,BLDR,184.5500030517578
2024-04-15,BG,103.93000030517578
2024-04-15,CDNS,301.55999755859375
2024-04-15,CZR,40.220001220703125
2024-04-15,CPT,96.62000274658203
2024-04-15,CPB,42.689998626708984
2024-04-15,COF,139.17999267578125
2024-04-15,CAH,107.02999877929688
2024-04-15,KMX,69.45999908447266
2024-04-15,CCL,14.0600004196167
2024-04-15,CARR,55.459999084472656
2024-04-15,CTLT,56.08000183105469
2024-04-15,CAT,363.9100036621094
2024-04-15,CBOE,177.3699951171875
2024-04-15,CBRE,86.98999786376953
2024-04-15,CDW,241.3800048828125
2024-04-15,CE,155.77999877929688
2024-04-15,COR,234.2100067138672
2024-04-15,CNC,72.72000122070312
2024-04-15,CNP,27.399999618530273
2024-04-15,CF,78.06999969482422
2024-04-15,CHRW,69.01000213623047
2024-04-15,CRL,235.92999267578125
2024-04-15,SCHW,71.2300033569336
2024-04-15,CHTR,256.8999938964844
2024-04-15,CVX,157.58999633789062
2024-04-15,CMG,2936.6298828125
2024-04-15,CB,244.44000244140625
2024-04-15,CHD,101.58000183105469
2024-04-15,CI,348.8999938964844
2024-04-15,CINF,116.80000305175781
2024-04-15,CTAS,664.719970703125
2024-04-15,CSCO,48.2400016784668
2024-04-15,C,58.560001373291016
2024-04-15,CFG,33.0
2024-04-15,CLX,140.52999877929688
2024-04-15,CME,206.22999572753906
2024-04-15,CMS,57.61000061035156
2024-04-15,KO,58.13999938964844
2024-04-15,CTSH,68.41999816894531
2024-04-15,CL,86.16999816894531
2024-04-15,CMCSA,39.43000030517578
2024-04-15,CMA,50.849998474121094
2024-04-15,CAG,29.760000228881836
2024-04-15,COP,130.25
2024-04-15,ED,89.31999969482422
2024-04-15,STZ,258.5199890136719
2024-04-15,CEG,185.39999389648438
2024-04-15,COO,92.04000091552734
2024-04-15,CPRT,54.75
2024-04-15,GLW,31.290000915527344
2024-04-15,CPAY,296.2900085449219
2024-04-15,CTVA,53.66999816894531
2024-04-15,CSGP,87.52999877929688
2024-04-15,COST,718.280029296875
2024-04-15,CTRA,27.190000534057617
2024-04-15,CCI,95.6500015258789
2024-04-15,CSX,35.13999938964844
2024-04-15,CMI,295.7799987792969
2024-04-15,CVS,68.95999908447266
2024-04-15,DHR,239.66000366210938
2024-04-15,DRI,154.05999755859375
2024-04-15,DVA,129.9600067138672
2024-04-15,DAY,59.66999816894531
2024-04-15,DECK,815.3800048828125
2024-04-15,DE,393.79998779296875
2024-04-15,DAL,46.650001525878906
2024-04-15,DVN,52.68000030517578
2024-04-15,DXCM,134.55999755859375
2024-04-15,FANG,205.35000610351562
